timestamp,updated_heading,uncertainty
1545609889.256532,101.0,1.571
1545609889.456676,101.0,1.571
1545609889.656528,101.0,1.571
1545609889.856904,101.0,1.571
1545609890.056679,101.0,1.571
1545609890.256684,101.0,1.571
1545609890.456728,101.0,1.571
1545609890.656604,101.0,1.571
1545609890.857075,101.0,1.571
1545609891.056526,65.9997,1.571
1545609891.256554,101.0,1.571
1545609891.456584,101.0,1.571
1545609891.656619,101.0,1.571
1545609891.856946,101.0,1.571
1545609892.056604,101.0,1.571
1545609892.256641,101.0,1.571
1545609892.456602,101.0,1.571
1545609892.656551,101.0,1.571
1545609892.857078,101.0,1.571
1545609893.056665,101.0,1.571
1545609893.256631,101.0,1.571
1545609893.456538,101.0,1.571
1545609893.656508,101.0,1.571
1545609893.856862,101.0,1.571
1545609894.056561,101.0,1.571
1545609894.256612,101.0,1.571
1545609894.456548,101.0,1.571
1545609894.656507,101.0,1.571
1545609894.85732,101.0,1.571
1545609895.056573,138.6517,1.571
1545609895.256495,101.0,1.571
1545609895.456534,101.0,1.571
1545609895.656617,101.0,1.571
1545609895.856824,101.0,1.571
1545609896.05652,101.0,1.571
1545609896.256538,101.0,1.571
1545609896.456513,101.0,1.571
1545609896.656534,101.0,1.571
1545609896.856867,101.0,1.571
1545609897.056475,138.1617,1.571
1545609897.256535,101.0,1.571
1545609897.456576,101.0,1.571
1545609897.656422,137.3667,1.571
1545609897.857256,101.0,1.571
1545609898.056487,101.0,1.571
1545609898.256466,101.0,1.571
1545609898.456449,101.0,1.571
1545609898.656446,101.0,1.571
1545609898.856744,101.0,1.571
1545609899.056468,101.0,1.571
1545609899.256409,101.0,1.571
1545609899.456422,108.0047,1.571
1545609899.656419,101.0,1.571
1545609899.856689,81.8667,1.571
1545609900.056425,101.0,1.571
1545609900.256371,111.8347,1.571
1545609900.456437,101.0,1.571
1545609900.656439,101.0,1.571
1545609900.857231,101.0,1.571
1545609901.056372,101.0,1.571
1545609901.256346,101.0,1.571
1545609901.456385,101.0,1.571
1545609901.656452,101.0,1.571
1545609901.857061,101.0,1.571
1545609902.056473,101.0,1.571
1545609902.256315,101.0,1.571
1545609902.456352,101.0,1.571
1545609902.656357,101.0,1.571
1545609902.857056,101.0,1.571
1545609903.056371,101.0,1.571
1545609903.256389,101.0,1.571
1545609903.456361,101.0,1.571
1545609903.656351,101.0,1.571
1545609903.85662,101.0,1.571
1545609904.056375,101.0,1.571
1545609904.256406,101.0,1.571
1545609904.456425,101.0,1.571
1545609904.656438,101.0,1.571
1545609904.856638,101.0,1.571
1545609905.056404,101.0,1.571
1545609905.256357,101.0,1.571
1545609905.45645,101.0,1.571
1545609905.656367,101.0,1.571
1545609905.857102,101.0,1.571
1545609906.056397,101.0,1.571
1545609906.256393,101.3178770039724,2.356
1545609906.456453,100.58193778128185,2.356
1545609906.656334,97.86005275551838,2.356
1545609906.857083,91.38340783732383,2.356
1545609907.056411,88.45292883430824,2.356
1545609907.256439,84.6010299915012,2.356
1545609907.456396,81.74658465432617,2.356
1545609907.656308,79.06345412191337,2.356
1545609907.856593,74.28674766548662,2.356
1545609908.056448,70.89889187489024,2.356
1545609908.256367,67.44139547551643,2.356
1545609908.456429,64.34725147960896,2.356
1545609908.656429,61.9310584003386,2.356
1545609908.856643,57.10177314768109,2.356
1545609909.056409,54.64734466943696,2.356
1545609909.256364,52.58716837046438,2.356
1545609909.456394,49.965495880203406,2.356
1545609909.656319,47.22325689071329,2.356
1545609909.856641,43.40799518261423,2.356
1545609910.056359,39.903684666669136,2.356
1545609910.256293,37.51427958932359,2.356
1545609910.456417,34.67180074357441,2.356
1545609910.656439,31.610708033060575,2.356
